"Author","Author Bio"
"Paula Geyh",
"Robert J. Higgs","The Editors: Robert J. Higgs is professor of English, emeritus, at East Tennessee State University and the author of Laurel and Thorn: The Athlete in American Literature. Ambrose N. Manning is professor of English, emeritus, at East Tennessee State University and a noted collector of folk songs and folklore. Jim Wayne Miller, a poet, novelist, and essayist, is a professor in the Department of Modern Languages and Intercultural Studies at Western Kentucky University."
"David L. Ulin","David L. Ulin, editor, is a frequent contributor to the Los Angeles Times, the LA Weekly, and other publications. He recently edited Another City, an anthology of contemporary Los Angeles poetry and prose."
"Guillermo Gomez-Pena",
"June Jordan","JUNE JORDAN  was an internationally recognized and beloved writer, teacher, and activist. The author of several books of poetry, including Kissing God Goodbye, Haruko/Love Poems, Who Look at Me, and Things That I Do in the Dark, she died from breast cancer in 2002.."
"Gloria Bird","Gloria Bird lives in Nespelem, Washington.Joy Harjo lives in Honolulu, Hawaii, and travels the United States playing saxophone with her band."
"Brenda Knight",
"Allen Ginsberg",
"Nicolas Kanellos",
"Harold Holzer","Harold Holzer, editor, serves as co-chairman of the U.S. Lincoln Bicentennial Commission, lectures widely on Lincoln and the Civil War, and is a frequent Lincoln commentator on television. He has written, co-written, and edited more than thirty books, including The Lincoln Image (1984), Lincoln on Democracy (1990), Lincoln at Cooper Union: The Speech That Made Abraham Lincoln President (2004), and Lincoln President-Elect: Abraham Lincoln and the Great Secession Winter 1860-1861(2008)."
"Werner Sollors","Werner Sollors is Henry B. and Anne M. Cabot Professor of English Literature and Professor of Afro-American Studies and Chair of the History of American Civilization Program at Harvard University. He is the author and editor of numerous books, including The Multilingual Anthology of American Literature, Theories of Ethnicity: A Classical Reader, and Multilingual America: Transnationalism, Ethnicity, and the Languages of American Literature, all available from NYU Press."
"Kenneth T. Jackson","Kenneth T. Jackson is Jacques Barzun Professor of History and the Social Sciences at Columbia University, and president of the New-York Historical Society. He edited the monumental Encyclopedia of New York City and was a prominent contributor to the PBS documentary New York and its companion volume. David S. Dunbar is co-founder and academic dean of CITYterm at the Masters School in Dobbs Ferry, New York, an interdisciplinary, experience-based semester program that immerses high school students from around the country in the history, literature, and culture of New York City. He lives in New York City."
"David Wagoner","David Lehman is the editor of The Oxford Book of American Poetry and the author of seven books of poetry, including When a Woman Loves a Man. He lives in New York City."
"Frances Smith Foster","FRANCES SMITH FOSTER is Charles Howard Candler Professor of English and Women's Studies and Chair of the English Department at Emory University. Her previous publications include Witnessing Slavery: The Development of the Ante-Bellum Slave Narrative, and Written By Herself: Literary Production by African American Women Writers, 1746-1892. Professor Foster has edited or co-edited numerous volumes, including, most notably, The Norton Anthology of African American Literature and The Oxford Companion to African American Literature."
"Heather McHugh","Heather McHugh is the author of numerous books of poetry, including Eyeshot and Hinge &amp; Sign. She teaches at the University of Washington in Seattle and at Warren Wilson College in North Carolina.David Lehman is the editor of The Oxford Book of American Poetry and the author of seven books of poetry, including When a Woman Loves a Man. He lives in New York City."
"Missy Martin",
"Arturo J. Aldama","Arturo J. Aldama is Associate Professor in the Department of Chicana/o Studies at Arizona State University. He is the author of Disrupting Savagism:Intersecting Chicana/o, Mexicana/o and Native American Struggles for Representation and several articles on Chicana/o and Native American cultural, literary and filmic studies. He is also Director elect for the Chicana and Chicano literary studies executive committee of the Modern Language Association.Naomi Quiñonez is Assistant Professor in the Department of Chicana/o Studies at Cal State Fullerton. She is a widely anthologized poet and the author of Hummingbird Dreams/ Sueño de Colibri; The Smoking Mirror (1998); the editor of Invocation L.A.: Urban Multicultural Poetry. Her scholarly work appears in several anthologies and special issues of top refereed journals."
"Anne Waldman",
"Joel Myerson","Joel Myerson is Carolina Distinguished Professor of American Literature at the University of South Carolina. He is the editor of A Historical Guide to Ralph Waldo Emerson (Oxford, 1999)."
"Toni Press-Coffman",
"James Weldon Johnson",
"Jeffrey D. Wilhelm",
"David Landis Barnhill","David Landis Barnhill is Director of Environmental Studies and Professor of English at the University of Wisconsin Oshkosh."
"Paul Carter Harrison",
"Linda Rode","LINDA RODE was born in Ladismith, Western Cape. She studied at Stellenbosch University, where she obtained an Honours degree in German and a Teacher's Diploma. She taught school in Calvinia, in Hermannsburg, at the Pionierskool in Worcester (school for the blind) and at Herzlia in Cape Town and works as a free-lance translator for publishers. Linda is married to Erwin Rode. They live in Bellville and have two children."
"Paul Auster","Paul Auster's unique novels are often like Chinese boxes, continually opening further to reveal new layers. He approaches his writing as he has approached his life, to an extent: as something of a nomad in a perpetually changing, mysterious landscape."
"Donald McQuade",
