"Title","Author Name","ISBN","Synopsis","Year","Stock"
"Immigrant Women","Maxine Schwartz Seller","9780791419045","Immigrant Women combines memoirs, diaries, oral history, and fiction to present an authentic and emotionally compelling record of women's struggles to build new lives in a new land. This new edition has been expanded to include additional material on recent Asian and Hispanic immigration and an updated bibliography.BooknewsAn anthology of memoirs, diaries, oral history, and fiction that provide a first-hand account of women's experiences in coming to the US. The new addition includes contributions by recent Asian and Hispanic immigrants, and drops several of the original accounts to make room for some poetry. Arranged in sections such as work, family, community life, and daughters and granddaughters, with a substantial introduction to each section. Paper edition (1904-5), $24.95. Annotation c. Book News, Inc., Portland, OR (booknews.com)","1994","4"
"For a Living: The Poetry of Work","Nicholas Coles","9780252064104",,"1995","9"
"Fire and Ink: An Anthology of Social Action Writing","Frances Payne Adler","9780816527939","Fire and Ink is a powerful and impassioned anthology of stories, poems, interviews, and essays that confront some of the most pressing social issues of our day. Designed to inspire and inform, this collection embodies the concepts of ""breaking silence,"" ""bearing witness,"" resistance, and resilience. Beyond students and teachers, the book will appeal to all readers with a commitment to social justice. Fire and Ink brings together, for the first time in one volume, politically engaged writing by poets, fiction writers, and essayists. Including many of our finest writers Martín Espada, June Jordan, Patricia Smith, Gloria Anzaldúa, Sharon Olds, Arundhati Roy, Sonia Sanchez, Carolyn Forche, Chitra Banerjee Divakaruni, Alice Walker, Linda Hogan, Gary Soto, Kim Blaeser, Minnie Bruce Pratt, Li-Young Lee, and Jimmy Santiago Baca, among others this is an indispensable collection.  This groundbreaking anthology marks the emergence of social action writing as a distinct field within creative writing and literature. Featuring never-before-published pieces, as well as reprinted material, Fire and Ink is divided into ten sections focused on significant social issues, including identity, sexuality and gender, the environment, social justice, work, war, and peace. The pieces can often be gripping, such as ""Frame,"" in which Adrienne Rich confronts government and police brutality, or Chris Abani's ""Ode to Joy,"" which documents great courage in the face of mortal danger.  Fire and Ink serves as a wonderful reader for a wide range of courses, from composition and rhetoric classes to courses in ethnic studies, gender studies, American studies, and even political science, by facing apast that was often accompanied by injustice and suffering. But beyond that, this collection teaches us that we all have the power to create a more equitable and just future. Publishers WeeklyWhile the editors of this generous anthology of fiction and nonfiction describe social action rather dryly as “a form of critical inquiry and an act of social responsibility,” the passionate pieces making up the collection elevate it into a meditation on the sanctity and wonder of each life. It's that overarching sensitivity that gives these diverse creative voices their moral and political force—and is echoed in the Buddhist “mindfulness” practiced by Vietnamese monk and social worker Chân Không, or the “small things” that make sense of the greatest transformations for novelist-activist Arundhati Roy, or the alertness to “the trauma of being different” in editor García's own migrant labor camp recollections. It comes as a refreshing antidote to the obfuscating abstractions clustered around the most pressing issues of the time—including those that become thematic categories in the anthology, such as war, the environment and labor. The general quality of writing, among both better and lesser known writers of conscience, ensures the collection is as timeless as it is timely. (Oct.)","2009","9"
"Drinking, Smoking and Screwing: Great Writers on Good Times","Sara Nickles","9780811807845","Before the notion of ""political correctness"" encroached on the ways people spoke, wrote, and conducted themselves in public and private, some of America's best writers embraced unsafe sex, excessive alcohol, and a good cigar. From the classically libidinous Henry Miller to the hilariously contemporary Fran Lebowitz, Drinking, Smoking and Screwing includes novel excerpts, essays, poems, and short stories in a bawdy and thoroughly entertaining anthology with no warnings -- and no apologies.Library JournalThis collection of 24 poems, essays, short stories, and excerpts from novels written between 1917 and 1986 has been put together to show readers that there was a time when Americans enjoyed drinking, smoking, and screwing rather than worrying, as do many writers in the 1990s, about how these activities threaten their health. However, though many selections are amusing, most stress the problems and frustrations that result from these activities rather than the joy. Authors include Dorothy Parker, Erica Jong, Mary McCarthy, Vladimir Nabokov, J.P. Donleavy, and Henry Miller, and most of what is collected here is well known. Nothing in the organization of the material or in the introduction provides insight into either familiar or unfamiliar writings. Not recommended.-Judy Mimken, Boise, Id.","1994","8"
"White Lines: Writers on Cocaine","Geno Zanetti","9781560253785","Blow, candy, Charlie, coke, go, ice, rock, snow, crack. Whatever you call it, thrill seekers have surrendered to cocaine’s siren call, paid their toll, and sold their souls. Its embrace can be deadly, a place of no return, the ultimate rush, public enemy number one. From the gutter to the penthouse, inner city to outer burb, from the Third World coca farmer to the executive addict, coke is the lifeblood of a global black economy and an outlaw underground. Coke has also been dark muse, torment, and theme to many of our greatest writers. White Lines gathers these literary thrill seekers in a classic and contemporary snort through the fog- and fear-filled streets of Victorian London to the dance macabre of the post-Vietnam culture of the 1970s, from the couch of Dr. Freud and the bacchanal of Mr. Magus, Aleister Crowley, to the narcotic thrill of fin de siecle casino capitalism, White Lines takes you into illicit and artificial worlds, near wild heavens and then deep, down underground. Selections from writers like Irvine Welsh, Bret Easton Ellis, William S. Burroughs, J.G. Ballard, Kim Wozencraft, Terry Southern, Sigmund Freud, Arthur Conan Doyle, Peter Biskind, and Julia Phillips are featured.Kirkus ReviewsEnglish editor Zanetti, who collected celebrations of the ultimate outlaw vehicle in She's a Bad Motorcycle (2002), teams up with his filmmaking partner Hyde to present essays about another accessory of the rebel lifestyle. Two entries from Richard Rudgely's Encyclopedia of Psychoactive Substances set up the reader with some basic facts: ""the cultural story of coca,"" a plant that has played a respected role in Andean culture for thousands of years, ""was radically different from that of the crass glitzy beginnings and subsequently sordid short life of its extract cocaine."" First isolated in 1860, cocaine enjoyed a few decades of positive press. It was imbibed by Queen Victoria, carried by the first man to fly across the English Channel, and used in Coca-Cola. Sigmund Freud's article "" ber Coca"" displays the generally favorable attitude typical of those years, relating the doctor's personal experiences and outlining cocaine's uses in treating disorders ranging from digestive problems to alcohol and morphine addiction. From there we move through some less enthusiastic texts, including Arthur Conan Doyle's account of Sherlock Holmes craving the drug's stimulation from ""The Sign of the Four"" and Aleister Crowley's story of drug-fueled debauchery in Paris (""Au Pays de Cocaine""). Then the editors let the veil drop completely. William Burroughs gets creepy with ""Coke Bugs,"" Charles Nicholls recounts a drug deal gone decidedly wrong in ""A Night with Captain Cocaine,"" and in an excerpt from his autobiography, Miles Davis recalls being so paranoid when coked up that he regularly looked for people hiding under the radiator. Hollywood is also well represented, with desperate accounts by Julia Phillipsand Carrie Fisher, among others; bad boys Brett Easton Ellis and Jay McInerney turn up as a matter of course; and Stephen King provides the single breath of air in the oppressive atmosphere with a three-page account of how he kicked his addiction. Evidence that cocaine has provided a lot of good writers with some very ugly experiences.","2002","9"
"Queer 13: Lesbian and Gay Writers Recall Seventh Grade","Clifford Chase","9780688171612","Gym class, group showers, zits, band practice, drama club, birth of pubic hair, pranks, secrets, spin-the-bottle, voice changes, bullies, sissies, friendship, enemyship -- what's not to love about turning 13? For a gay child, it may be traumatic, but it also carries a richness of observed detail of small but important moments, turning points of sorts. Adolescence is a watermark for pain and change; the anthology Queer 13 contains 25 remembrances of the era of sixth, seventh, and eighth grades, charged with the sparks that only the very young can give off.Hank Stuever""When casting about for survival tales of the seventh grade, Clifford Chase, who edited this book of essays, found that most gay writers had suppressed it, like time they'd spent in a cultural junior-high version of Dachau: utter oppression, grueling days, anxious and terrifying nights. They'd simply blocked it out. Seventh grade wasn't too fun for anyone, but it seems to be a particular watershed event for these wordy gays and lesbians, who have risen to the assignment and reconjured that particular year with pubescent horror: the longing, the armpit hair, the confusion, the shame, the teasing -- it's all here. Thankfully, as the sage Judy Blume always assured us, it's only seventh grade, and most everyone survives it. Even gay kids. Seen from these 25 collected pieces -- many of them quite clever memoirs; some of them merely more overwrought gunk from the para-memoirist craze -- seventh grade is quite a hurdle, but also a magic place.""","1999","7"
"Appalachia Inside Out: Conflict and Change, Vol. 1","Robert J. Higgs","9780870498749","The two volumes of Appalachia Inside Out constitute the most comprehensive anthology of writings on Appalachia ever assembled. Representing the work of approximately two hundred authors-fiction writers, poets, scholars in disciplines such as history, literary criticism, and sociology-Appalachia Inside Out reveals the fascinating diversity of the region and lays to rest many of the reductive stereotypes long associated with it.BooknewsAn anthology of fiction, poetry, history, literary criticism and folklore about the mountainous region and the influences on it. The selections in volume 2 are organized around themes such as family and community, dialect and language, sports and play, and regional identity and the future. Annotation c. Book News, Inc., Portland, OR (booknews.com)","1995","7"
"Literary Savannah","Patrick Allen","9781892514011","The statues of Savannah's Monument Square are silent. The status of the solemn girl in Bonaventure Cemetery  made famous in John Berendt's now legendary book, Midnight in the Garden of Good and Evil  cannot speak. Only Savannah's literary monuments can give voice to the rich and diverse history of one of America's greatest and most visited cities. Many have written about Savannah, but few have captured the true spirit of Southern grace most often associated with her history, as well as the mysteries and humor that await behind the walled gardens and gated homes. Whether born there or simply passing through, writers have been inspired by Savannah for centuries, and, in Literary Savannah, her stories are finally told.","2006","6"
"Don't Squat With Yer Spurs On!: A Cowboy's Guide to Life","Texas Bix Bender","9780879054700","Says the SOUTH BEND TRIBUNE, ""This book is worthy of a book rustler."" In the tradition of humorist Will Rogers, it takes a look at life through the eyes of the cowboy. It is filled with quips and quotes that represent the Code of the West, like: ""Always drink upstream from the herd"" and ""The easiest way to eat crow is while it's still warm. The colder it gets, the harder it is to swallow.""BooknewsCowboy humor and wisdom. Annotation c. Book News, Inc., Portland, OR (booknews.com)","2000","6"
"Pamphlets of Protest: An Anthology of Early African American Protest Literature, 1790-1860","Richard G. Newman","9780415924443","Between the Revolution and the Civil War, African-American writing became a prominent feature of both black protest culture and American public life. Although denied a political voice in national affairs, black authors produced a wide range of literature to project their views into the public sphere. Autobiographies and personal narratives told of slavery's horrors, newspapers railed against racism in its various forms, and poetry, novellas, reprinted sermons and speeches told tales of racial uplift and redemption.The editors examine the important and previously overlooked pamphleteering tradition and offer new insights into how and why the printed word became so important to black activists during this critical period. An introduction by the editors situates the pamphlets in their various social, economic and political contexts. This is the first book to capture the depth of black print culture before the Civil War by examining perhaps its most important form, the pamphlet.","2000","4"
